☑️,ID,Parent ID,Уровень,Путь в иерархии,Название категории,URL,Товаров,В наличии,SEO статус,AI статус,Обновлено,Админка
false,21695226,18064340,1,Каталог > Бинокли по брендам > Бинокли Leica > Leica Noctivid,  └─ Leica Noctivid,/collection/binokli-leica-noctivid,2,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/21695226
false,18066775,26065675,2,Каталог > Бинокли по брендам > Бинокли Norbert,    └─ Бинокли Norbert,/collection/norbert,16,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/18066775
false,18066987,26065675,2,Каталог > Бинокли по брендам > Бинокли Redfield,    └─ Бинокли Redfield,/collection/redfield,4,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/18066987
false,18067017,26065675,2,Каталог > Бинокли по брендам > Бинокли Steiner,    └─ Бинокли Steiner,/collection/steiner,28,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/18067017
false,21695393,18067017,1,Каталог > Бинокли по брендам > Бинокли Steiner > Steiner Safari UltraSharp,  └─ Steiner Safari UltraSharp,/collection/binokli-steiner-safari-ultrasharp,5,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/21695393
false,21695408,18067017,1,Каталог > Бинокли по брендам > Бинокли Steiner > Steiner BluHorizons,  └─ Steiner BluHorizons,/collection/binokli-steiner-bluhorizons,4,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/21695408
false,21695416,18067017,1,Каталог > Бинокли по брендам > Бинокли Steiner > Steiner SkyHawk 4.0,  └─ Steiner SkyHawk 4.0,/collection/binokli-steiner-skyhawk-40,4,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/21695416
false,21695423,18067017,1,Каталог > Бинокли по брендам > Бинокли Steiner > Steiner SkyHawk 3.0,  └─ Steiner SkyHawk 3.0,/collection/binokli-steiner-skyhawk-30,4,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/21695423
false,21695431,18067017,1,Каталог > Бинокли по брендам > Бинокли Steiner > Steiner Observer,  └─ Steiner Observer,/collection/binokli-steiner-observer,3,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/21695431
false,21695459,18067017,1,Каталог > Бинокли по брендам > Бинокли Steiner > Steiner Ranger Xtreme,  └─ Steiner Ranger Xtreme,/collection/binokli-steiner-ranger-xtreme,3,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/21695459
false,21695473,18067017,1,Каталог > Бинокли по брендам > Бинокли Steiner > Steiner Wildlife,  └─ Steiner Wildlife,/collection/binokli-steiner-wildlife,2,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/21695473
false,21704322,18067017,1,Каталог > Бинокли по брендам > Бинокли Steiner > Steiner Navigator PRO,  └─ Steiner Navigator PRO,/collection/binokli-steiner-navigator-pro,2,0,⚠️ Требуется,Не обработано,Wed Oct 29 2025 17:58:43 GMT+0300 (Moscow Standard Time),https://myshop-on665.myinsales.ru/admin2/collections/21704322
